─ Session info ───────────────────────────────────────────────────────────────
 setting  value
 version  R version 4.3.3 (2024-02-29)
 os       macOS 15.3.2
 system   x86_64, darwin13.4.0
 ui       unknown
 language (EN)
 collate  C
 ctype    UTF-8
 tz       Europe/Berlin
 date     2025-03-26
 pandoc   3.6.3 @ /Users/seohyon/miniconda3/envs/interoperability/bin/pandoc
 quarto   NA

─ Packages ───────────────────────────────────────────────────────────────────
 package              * version    date (UTC) lib source
 abind                  1.4-8      2024-09-12 [1] CRAN (R 4.3.3)
 beachmat               2.18.0     2023-10-24 [1] Bioconductor
 Biobase              * 2.62.0     2023-10-24 [1] Bioconductor
 BiocGenerics         * 0.48.1     2023-11-01 [1] Bioconductor
 BiocParallel           1.36.0     2023-10-24 [1] Bioconductor
 bit                    4.6.0      2025-03-06 [1] CRAN (R 4.3.3)
 bit64                  4.6.0-1    2025-01-16 [1] CRAN (R 4.3.3)
 bitops                 1.0-9      2024-10-03 [1] CRAN (R 4.3.3)
 cli                    3.6.4      2025-02-13 [1] CRAN (R 4.3.3)
 cluster                2.1.8      2024-12-11 [1] CRAN (R 4.3.3)
 codetools              0.2-20     2024-03-31 [1] CRAN (R 4.3.3)
 colorspace             2.1-1      2024-07-26 [1] CRAN (R 4.3.3)
 cowplot                1.1.3      2024-01-22 [1] CRAN (R 4.3.3)
 crayon                 1.5.3      2024-06-20 [1] CRAN (R 4.3.3)
 data.table             1.17.0     2025-02-22 [1] CRAN (R 4.3.3)
 DelayedArray           0.28.0     2023-10-24 [1] Bioconductor
 DelayedMatrixStats     1.24.0     2023-10-24 [1] Bioconductor
 deldir                 2.0-4      2024-02-28 [1] CRAN (R 4.3.3)
 digest                 0.6.37     2024-08-19 [1] CRAN (R 4.3.3)
 dotCall64              1.2        2024-10-04 [1] CRAN (R 4.3.3)
 dplyr                  1.1.4      2023-11-17 [1] CRAN (R 4.3.3)
 farver                 2.1.2      2024-05-13 [1] CRAN (R 4.3.3)
 fastDummies            1.7.5      2025-01-20 [1] CRAN (R 4.3.3)
 fastmap                1.2.0      2024-05-15 [1] CRAN (R 4.3.3)
 fitdistrplus           1.2-2      2025-01-07 [1] CRAN (R 4.3.3)
 future                 1.34.0     2024-07-29 [1] CRAN (R 4.3.3)
 future.apply           1.11.3     2024-10-27 [1] CRAN (R 4.3.3)
 generics               0.1.3      2022-07-05 [1] CRAN (R 4.3.3)
 GenomeInfoDb         * 1.38.1     2023-11-08 [1] Bioconductor
 GenomeInfoDbData       1.2.11     2025-02-21 [1] Bioconductor
 GenomicRanges        * 1.54.1     2023-10-29 [1] Bioconductor
 ggplot2                3.5.1      2024-04-23 [1] CRAN (R 4.3.3)
 ggrepel                0.9.6      2024-09-07 [1] CRAN (R 4.3.3)
 ggridges               0.5.6      2024-01-23 [1] CRAN (R 4.3.3)
 globals                0.16.3     2024-03-08 [1] CRAN (R 4.3.3)
 glue                   1.8.0      2024-09-30 [1] CRAN (R 4.3.3)
 goftest                1.2-3      2021-10-07 [1] CRAN (R 4.3.3)
 gridExtra              2.3        2017-09-09 [1] CRAN (R 4.3.3)
 gtable                 0.3.6      2024-10-25 [1] CRAN (R 4.3.3)
 hdf5r                  1.3.12     2025-01-20 [1] CRAN (R 4.3.3)
 htmltools              0.5.8.1    2024-04-04 [1] CRAN (R 4.3.3)
 htmlwidgets            1.6.4      2023-12-06 [1] CRAN (R 4.3.3)
 httpuv                 1.6.15     2024-03-26 [1] CRAN (R 4.3.3)
 httr                   1.4.7      2023-08-15 [1] CRAN (R 4.3.3)
 ica                    1.0-3      2022-07-08 [1] CRAN (R 4.3.3)
 igraph                 2.1.4      2025-01-23 [1] CRAN (R 4.3.3)
 IRanges              * 2.36.0     2023-10-24 [1] Bioconductor
 irlba                  2.3.5.1    2022-10-03 [1] CRAN (R 4.3.3)
 jsonlite               1.9.1      2025-03-03 [1] CRAN (R 4.3.3)
 KernSmooth             2.23-26    2025-01-01 [1] CRAN (R 4.3.3)
 later                  1.4.1      2024-11-27 [1] CRAN (R 4.3.3)
 lattice                0.22-6     2024-03-20 [1] CRAN (R 4.3.3)
 lazyeval               0.2.2      2019-03-15 [1] CRAN (R 4.3.3)
 lifecycle              1.0.4      2023-11-07 [1] CRAN (R 4.3.3)
 listenv                0.9.1      2024-01-29 [1] CRAN (R 4.3.3)
 lmtest                 0.9-40     2022-03-21 [1] CRAN (R 4.3.3)
 magrittr               2.0.3      2022-03-30 [1] CRAN (R 4.3.3)
 MASS                   7.3-60.0.1 2024-01-13 [1] CRAN (R 4.3.3)
 Matrix               * 1.6-5      2024-01-11 [1] CRAN (R 4.3.3)
 MatrixGenerics       * 1.14.0     2023-10-24 [1] Bioconductor
 matrixStats          * 1.5.0      2025-01-07 [1] CRAN (R 4.3.3)
 mime                   0.12       2021-09-28 [1] CRAN (R 4.3.3)
 miniUI                 0.1.1.1    2018-05-18 [1] CRAN (R 4.3.3)
 MuData                 0.99.9     2025-03-13 [1] Bioconductor
 MuDataSeurat           0.0.0.9000 2025-03-13 [1] Github (PMBio/MuDataSeurat@e34e908)
 MultiAssayExperiment   1.28.0     2023-10-24 [1] Bioconductor
 munsell                0.5.1      2024-04-01 [1] CRAN (R 4.3.3)
 nlme                   3.1-167    2025-01-27 [1] CRAN (R 4.3.3)
 parallelly             1.42.0     2025-01-30 [1] CRAN (R 4.3.3)
 patchwork              1.3.0      2024-09-16 [1] CRAN (R 4.3.3)
 pbapply                1.7-2      2023-06-27 [1] CRAN (R 4.3.3)
 pillar                 1.10.1     2025-01-07 [1] CRAN (R 4.3.3)
 pkgconfig              2.0.3      2019-09-22 [1] CRAN (R 4.3.3)
 plotly                 4.10.4     2024-01-13 [1] CRAN (R 4.3.3)
 plyr                   1.8.9      2023-10-02 [1] CRAN (R 4.3.3)
 png                    0.1-8      2022-11-29 [1] CRAN (R 4.3.3)
 polyclip               1.10-7     2024-07-23 [1] CRAN (R 4.3.3)
 progressr              0.15.1     2024-11-22 [1] CRAN (R 4.3.3)
